µÁ—π(V),x÷·(s)
0.2,0
-0.2,0.0008004
-0.2,0.0016008
-0.2,0.002401201
-0.2,0.003201601
-0.2,0.004002001
-0.2,0.004802401
-0.2,0.005602801
-0.2,0.006403202
-0.2,0.007203602
-0.2,0.008004002
-0.2,0.008804402
-0.2,0.009604802
-0.2,0.010405203
-0.2,0.011205603
-0.2,0.012006003
-0.2,0.012806403
-0.2,0.013606803
-0.2,0.014407204
-0.2,0.015207604
-0.2,0.016008004
-0.2,0.016808404
-0.2,0.017608804
-0.2,0.018409205
-0.2,0.019209605
-0.2,0.020010005
-0.2,0.020810405
-0.2,0.021610805
-0.2,0.022411206
-0.6,0.023211606
-0.2,0.024012006
-0.2,0.024812406
-0.2,0.025612806
-0.2,0.026413207
-0.2,0.027213607
-0.2,0.028014007
-0.2,0.028814407
0.2,0.029614807
-0.2,0.030415208
-0.2,0.031215608
-0.2,0.032016008
-0.2,0.032816408
-0.2,0.033616808
0.2,0.034417209
-0.2,0.035217609
-0.2,0.036018009
-0.2,0.036818409
0.2,0.037618809
-0.2,0.03841921
-0.6,0.03921961
-0.2,0.04002001
-0.2,0.04082041
-0.2,0.04162081
-0.2,0.042421211
-0.2,0.043221611
-0.2,0.044022011
-0.2,0.044822411
-0.2,0.045622811
-0.2,0.046423212
-0.2,0.047223612
-0.2,0.048024012
-0.2,0.048824412
-0.2,0.049624812
-0.2,0.050425213
-0.2,0.051225613
-0.6,0.052026013
-0.2,0.052826413
-0.2,0.053626813
-0.2,0.054427214
-0.2,0.055227614
-0.6,0.056028014
-0.2,0.056828414
-0.2,0.057628814
-0.2,0.058429215
-0.2,0.059229615
-0.2,0.060030015
-0.2,0.060830415
-0.6,0.061630815
-0.2,0.062431216
-0.2,0.063231616
-0.2,0.064032016
-0.2,0.064832416
-0.2,0.065632816
-0.2,0.066433217
-0.2,0.067233617
-0.2,0.068034017
-0.6,0.068834417
-0.2,0.069634817
-0.2,0.070435218
-0.2,0.071235618
-0.2,0.072036018
-0.2,0.072836418
-0.2,0.073636818
-0.2,0.074437219
-0.2,0.075237619
-0.2,0.076038019
-0.2,0.076838419
-0.2,0.077638819
-0.2,0.07843922
-0.2,0.07923962
-0.2,0.08004002
-0.2,0.08084042
-0.2,0.08164082
-0.2,0.082441221
-0.2,0.083241621
-0.2,0.084042021
-0.2,0.084842421
-0.2,0.085642821
-0.2,0.086443222
-0.2,0.087243622
-0.2,0.088044022
-0.2,0.088844422
-0.2,0.089644822
-0.2,0.090445223
-0.2,0.091245623
-0.2,0.092046023
-0.2,0.092846423
-0.2,0.093646823
-0.2,0.094447224
-0.2,0.095247624
-0.2,0.096048024
-0.2,0.096848424
-0.2,0.097648824
-0.2,0.098449225
-0.2,0.099249625
-0.2,0.100050025
-0.2,0.100850425
-0.2,0.101650825
-0.2,0.102451226
-0.2,0.103251626
-0.2,0.104052026
-0.2,0.104852426
-0.2,0.105652826
-0.2,0.106453227
-0.2,0.107253627
-0.2,0.108054027
-0.2,0.108854427
-0.2,0.109654827
-0.6,0.110455228
-0.2,0.111255628
-0.2,0.112056028
-0.2,0.112856428
-0.2,0.113656828
-0.2,0.114457229
-0.2,0.115257629
-0.2,0.116058029
-0.2,0.116858429
-0.2,0.117658829
-0.2,0.11845923
-0.2,0.11925963
-0.2,0.12006003
-0.2,0.12086043
0.2,0.12166083
-0.2,0.122461231
-0.2,0.123261631
-0.2,0.124062031
-0.2,0.124862431
-0.2,0.125662831
-0.2,0.126463232
-0.2,0.127263632
-0.2,0.128064032
-0.2,0.128864432
-0.2,0.129664832
-0.2,0.130465233
-0.2,0.131265633
-0.2,0.132066033
-0.2,0.132866433
-0.2,0.133666833
0.2,0.134467234
0.2,0.135267634
-0.2,0.136068034
0.2,0.136868434
-0.2,0.137668834
-0.2,0.138469235
-0.2,0.139269635
-0.2,0.140070035
-0.2,0.140870435
-0.2,0.141670835
-0.2,0.142471236
-0.2,0.143271636
-0.2,0.144072036
-0.2,0.144872436
-0.2,0.145672836
-0.2,0.146473237
0.2,0.147273637
-0.2,0.148074037
-0.2,0.148874437
-0.2,0.149674837
-0.2,0.150475238
-0.2,0.151275638
-0.2,0.152076038
-0.2,0.152876438
-0.2,0.153676838
-0.2,0.154477239
-0.2,0.155277639
0.2,0.156078039
-0.2,0.156878439
-0.2,0.157678839
-0.2,0.15847924
-0.2,0.15927964
0.2,0.16008004
-0.2,0.16088044
-0.2,0.16168084
-0.2,0.162481241
-0.2,0.163281641
0.2,0.164082041
-0.2,0.164882441
-0.2,0.165682841
-0.2,0.166483242
-0.2,0.167283642
-0.2,0.168084042
-0.2,0.168884442
-0.2,0.169684842
-0.2,0.170485243
-0.2,0.171285643
-0.2,0.172086043
-0.2,0.172886443
-0.2,0.173686843
-0.2,0.174487244
-0.2,0.175287644
-0.2,0.176088044
-0.2,0.176888444
-0.2,0.177688844
-0.2,0.178489245
-0.2,0.179289645
-0.2,0.180090045
-0.2,0.180890445
-0.2,0.181690845
-0.2,0.182491246
-0.2,0.183291646
-0.2,0.184092046
-0.2,0.184892446
-0.2,0.185692846
-0.2,0.186493247
-0.2,0.187293647
0.2,0.188094047
-0.2,0.188894447
-0.2,0.189694847
-0.2,0.190495248
-0.2,0.191295648
-0.2,0.192096048
-0.2,0.192896448
-0.2,0.193696848
-0.2,0.194497249
-0.2,0.195297649
-0.2,0.196098049
-0.2,0.196898449
-0.2,0.197698849
-0.2,0.19849925
-0.2,0.19929965
-0.2,0.20010005
-0.2,0.20090045
-0.2,0.20170085
-0.2,0.202501251
-0.2,0.203301651
-0.6,0.204102051
-0.2,0.204902451
-0.2,0.205702851
-0.2,0.206503252
0.2,0.207303652
-0.2,0.208104052
-0.2,0.208904452
-0.2,0.209704852
0.2,0.210505253
-0.2,0.211305653
-0.2,0.212106053
-0.2,0.212906453
-0.2,0.213706853
-0.2,0.214507254
-0.2,0.215307654
-0.2,0.216108054
-0.2,0.216908454
-0.2,0.217708854
-0.2,0.218509255
-0.2,0.219309655
-0.2,0.220110055
-0.2,0.220910455
-0.2,0.221710855
-0.2,0.222511256
-0.2,0.223311656
-0.2,0.224112056
-0.2,0.224912456
-0.2,0.225712856
0.2,0.226513257
-0.2,0.227313657
-0.2,0.228114057
-0.2,0.228914457
-0.2,0.229714857
0.2,0.230515258
-0.2,0.231315658
-0.2,0.232116058
-0.2,0.232916458
-0.2,0.233716858
-0.2,0.234517259
-0.2,0.235317659
-0.2,0.236118059
-0.2,0.236918459
-0.2,0.237718859
-0.2,0.23851926
-0.2,0.23931966
-0.2,0.24012006
-0.2,0.24092046
-0.2,0.24172086
-0.2,0.242521261
-0.2,0.243321661
-0.2,0.244122061
-0.2,0.244922461
-0.2,0.245722861
-0.2,0.246523262
-0.2,0.247323662
-0.2,0.248124062
-0.2,0.248924462
-0.2,0.249724862
-0.2,0.250525263
-0.2,0.251325663
0.2,0.252126063
-0.2,0.252926463
-0.2,0.253726863
-0.2,0.254527264
-0.2,0.255327664
-0.2,0.256128064
-0.2,0.256928464
-0.2,0.257728864
-0.2,0.258529265
-0.2,0.259329665
-0.2,0.260130065
-0.2,0.260930465
-0.2,0.261730865
0.2,0.262531266
-0.2,0.263331666
0.2,0.264132066
-0.2,0.264932466
-0.2,0.265732866
-0.2,0.266533267
-0.2,0.267333667
-0.6,0.268134067
-0.2,0.268934467
-0.2,0.269734867
-0.2,0.270535268
-0.2,0.271335668
-0.2,0.272136068
-0.2,0.272936468
-0.2,0.273736868
-0.2,0.274537269
-0.2,0.275337669
-0.2,0.276138069
-0.2,0.276938469
-0.2,0.277738869
-0.2,0.27853927
-0.2,0.27933967
-0.2,0.28014007
-0.2,0.28094047
-0.2,0.28174087
-0.2,0.282541271
-0.2,0.283341671
-0.2,0.284142071
-0.2,0.284942471
-0.2,0.285742871
-0.2,0.286543272
-0.2,0.287343672
-0.2,0.288144072
-0.2,0.288944472
-0.2,0.289744872
-0.6,0.290545273
-0.2,0.291345673
-0.2,0.292146073
-0.2,0.292946473
-0.2,0.293746873
-0.2,0.294547274
-0.2,0.295347674
-0.2,0.296148074
-0.2,0.296948474
-0.2,0.297748874
-0.2,0.298549275
-0.2,0.299349675
-0.2,0.300150075
-0.2,0.300950475
-0.2,0.301750875
-0.2,0.302551276
-0.2,0.303351676
-0.2,0.304152076
-0.2,0.304952476
-0.2,0.305752876
-0.2,0.306553277
-0.2,0.307353677
-0.2,0.308154077
-0.2,0.308954477
-0.2,0.309754877
-0.2,0.310555278
